airport_name,calendar_date,arriving_departing_flag,passengers
East Midlands,2020-07-13 00:00:00,Arriving,742
East Midlands,2020-04-12 00:00:00,Departing,0
East Midlands,2020-04-03 00:00:00,Departing,0
East Midlands,2020-07-14 00:00:00,Departing,876
East Midlands,2020-08-18 00:00:00,Departing,1067
East Midlands,2020-08-17 00:00:00,Departing,1707
East Midlands,2020-08-28 00:00:00,Departing,2111
East Midlands,2020-06-04 00:00:00,Arriving,0
East Midlands,2020-06-13 00:00:00,Arriving,0
East Midlands,2020-07-07 00:00:00,Arriving,204
East Midlands,2020-08-08 00:00:00,Arriving,1925
East Midlands,2020-05-06 00:00:00,Departing,0
East Midlands,2020-08-17 00:00:00,Arriving,2042
East Midlands,2020-05-01 00:00:00,Arriving,0
East Midlands,2020-07-20 00:00:00,Departing,1922
East Midlands,2020-07-30 00:00:00,Departing,1074
East Midlands,2020-08-28 00:00:00,Arriving,1897
East Midlands,2020-09-05 00:00:00,Arriving,1630
East Midlands,2020-04-05 00:00:00,Departing,0
East Midlands,2020-04-23 00:00:00,Arriving,0
East Midlands,2020-10-23 00:00:00,Departing,900
East Midlands,2020-07-13 00:00:00,Departing,1181
East Midlands,2020-08-06 00:00:00,Arriving,869
East Midlands,2020-08-06 00:00:00,Departing,1450
East Midlands,2020-08-25 00:00:00,Arriving,1325
East Midlands,2020-08-03 00:00:00,Departing,1890
East Midlands,2020-08-20 00:00:00,Departing,1233
East Midlands,2020-09-27 00:00:00,Arriving,1336
East Midlands,2020-08-15 00:00:00,Arriving,1988
East Midlands,2020-08-16 00:00:00,Departing,1592
East Midlands,2020-08-07 00:00:00,Arriving,1566
East Midlands,2020-10-10 00:00:00,Arriving,1075
East Midlands,2020-08-18 00:00:00,Arriving,1578
East Midlands,2020-08-30 00:00:00,Arriving,1493
East Midlands,2020-07-25 00:00:00,Arriving,1678
East Midlands,2020-09-07 00:00:00,Departing,1517
East Midlands,2020-09-24 00:00:00,Departing,1030
East Midlands,2020-08-20 00:00:00,Arriving,1106
East Midlands,2020-06-24 00:00:00,Departing,105
East Midlands,2020-04-03 00:00:00,Arriving,0
East Midlands,2020-09-12 00:00:00,Arriving,1540
East Midlands,2020-06-24 00:00:00,Arriving,7
East Midlands,2020-05-30 00:00:00,Arriving,0
East Midlands,2020-04-15 00:00:00,Departing,0
East Midlands,2020-04-28 00:00:00,Departing,0
East Midlands,2020-06-16 00:00:00,Departing,0
East Midlands,2020-06-18 00:00:00,Departing,0
East Midlands,2020-09-30 00:00:00,Departing,819
East Midlands,2020-06-12 00:00:00,Departing,0
East Midlands,2020-05-06 00:00:00,Arriving,0
East Midlands,2020-06-18 00:00:00,Arriving,0
East Midlands,2020-05-14 00:00:00,Arriving,0
East Midlands,2020-04-18 00:00:00,Departing,0
East Midlands,2020-10-10 00:00:00,Departing,1150
Manchester,2020-07-10 00:00:00,Departing,3887
Manchester,2020-08-21 00:00:00,Departing,9229
Manchester,2020-09-15 00:00:00,Departing,6654
Manchester,2020-08-25 00:00:00,Arriving,8214
Manchester,2020-09-15 00:00:00,Arriving,7608
Manchester,2020-07-13 00:00:00,Departing,3688
Manchester,2020-08-12 00:00:00,Departing,7987
Manchester,2020-08-29 00:00:00,Departing,9548
Manchester,2020-07-19 00:00:00,Departing,6915
Manchester,2020-07-30 00:00:00,Departing,4734
Manchester,2020-04-18 00:00:00,Departing,185
Manchester,2020-10-24 00:00:00,Departing,5920
East Midlands,2020-02-05 00:00:00,Arriving,1578
East Midlands,2020-01-11 00:00:00,Arriving,2834
East Midlands,2020-01-20 00:00:00,Arriving,2524
East Midlands,2020-02-18 00:00:00,Departing,2602
East Midlands,2020-01-27 00:00:00,Departing,2377
East Midlands,2020-01-18 00:00:00,Departing,2803
East Midlands,2020-02-16 00:00:00,Arriving,3333
East Midlands,2020-01-31 00:00:00,Departing,2826
East Midlands,2020-03-06 00:00:00,Departing,3030
East Midlands,2020-02-29 00:00:00,Departing,3075
East Midlands,2020-02-21 00:00:00,Arriving,3184
East Midlands,2020-02-05 00:00:00,Departing,1517
East Midlands,2020-02-01 00:00:00,Departing,3023
East Midlands,2020-03-21 00:00:00,Departing,96
East Midlands,2020-01-07 00:00:00,Departing,1902
East Midlands,2020-03-17 00:00:00,Departing,154
East Midlands,2020-02-18 00:00:00,Arriving,2312
East Midlands,2020-03-28 00:00:00,Arriving,0
East Midlands,2020-02-24 00:00:00,Arriving,3014
Manchester,2020-02-22 00:00:00,Departing,23412
Manchester,2020-03-05 00:00:00,Arriving,19205
Manchester,2020-03-19 00:00:00,Arriving,10078
Manchester,2020-01-08 00:00:00,Departing,17408
Manchester,2020-03-13 00:00:00,Arriving,18836
Manchester,2020-02-04 00:00:00,Departing,17204
Manchester,2020-03-04 00:00:00,Arriving,17953
Manchester,2020-01-02 00:00:00,Arriving,26976
Manchester,2020-01-22 00:00:00,Arriving,16636
Manchester,2020-02-22 00:00:00,Arriving,27913
Manchester,2020-03-19 00:00:00,Departing,4885
Manchester,2020-02-24 00:00:00,Arriving,29291
Manchester,2020-01-15 00:00:00,Arriving,17081
Manchester,2020-02-18 00:00:00,Arriving,21615
Manchester,2020-01-19 00:00:00,Arriving,26771
Manchester,2020-03-07 00:00:00,Arriving,22350
Manchester,2020-01-19 00:00:00,Departing,23851
Manchester,2020-02-29 00:00:00,Arriving,22708
Manchester,2020-03-27 00:00:00,Departing,874
Manchester,2020-03-27 00:00:00,Arriving,938
Manchester,2020-02-29 00:00:00,Departing,24080
Manchester,2020-03-28 00:00:00,Arriving,504
Manchester,2020-03-23 00:00:00,Arriving,3213
East Midlands,2020-05-11 00:00:00,Arriving,0
East Midlands,2020-05-17 00:00:00,Departing,0
East Midlands,2020-07-19 00:00:00,Departing,1656
East Midlands,2020-08-26 00:00:00,Departing,1231
East Midlands,2020-09-05 00:00:00,Departing,1476
East Midlands,2020-09-20 00:00:00,Departing,1326
East Midlands,2020-06-16 00:00:00,Arriving,1
East Midlands,2020-07-22 00:00:00,Arriving,734
East Midlands,2020-08-02 00:00:00,Arriving,1831
East Midlands,2020-05-16 00:00:00,Departing,0
East Midlands,2020-05-29 00:00:00,Departing,0
East Midlands,2020-04-09 00:00:00,Arriving,0
East Midlands,2020-04-22 00:00:00,Arriving,0
East Midlands,2020-07-29 00:00:00,Arriving,1056
East Midlands,2020-08-12 00:00:00,Arriving,1433
East Midlands,2020-08-13 00:00:00,Arriving,1293
East Midlands,2020-08-09 00:00:00,Departing,1690
East Midlands,2020-09-13 00:00:00,Arriving,1472
East Midlands,2020-05-23 00:00:00,Departing,0
East Midlands,2020-03-29 00:00:00,Departing,0
East Midlands,2020-04-16 00:00:00,Departing,0
East Midlands,2020-03-31 00:00:00,Arriving,0
East Midlands,2020-09-11 00:00:00,Departing,1758
East Midlands,2020-07-06 00:00:00,Departing,1051
East Midlands,2020-07-23 00:00:00,Departing,1653
East Midlands,2020-09-22 00:00:00,Arriving,1188
East Midlands,2020-08-29 00:00:00,Departing,1612
East Midlands,2020-07-22 00:00:00,Departing,1095
East Midlands,2020-09-23 00:00:00,Departing,821
East Midlands,2020-08-26 00:00:00,Arriving,1725
East Midlands,2020-07-23 00:00:00,Arriving,884
East Midlands,2020-07-11 00:00:00,Arriving,636
East Midlands,2020-07-18 00:00:00,Arriving,954
East Midlands,2020-09-28 00:00:00,Departing,1166
East Midlands,2020-10-22 00:00:00,Departing,442
East Midlands,2020-04-01 00:00:00,Departing,0
East Midlands,2020-06-02 00:00:00,Departing,0
East Midlands,2020-05-07 00:00:00,Arriving,0
East Midlands,2020-10-09 00:00:00,Arriving,1440
East Midlands,2020-05-29 00:00:00,Arriving,0
East Midlands,2020-06-05 00:00:00,Arriving,0
East Midlands,2020-04-09 00:00:00,Departing,0
East Midlands,2020-05-27 00:00:00,Departing,0
East Midlands,2020-05-19 00:00:00,Departing,0
East Midlands,2020-10-07 00:00:00,Arriving,819
East Midlands,2020-04-10 00:00:00,Departing,0
East Midlands,2020-04-27 00:00:00,Departing,0
East Midlands,2020-06-21 00:00:00,Departing,33
East Midlands,2020-04-19 00:00:00,Arriving,0
East Midlands,2020-03-30 00:00:00,Arriving,110
Manchester,2020-06-12 00:00:00,Departing,301
Manchester,2020-07-20 00:00:00,Departing,6323
Manchester,2020-08-05 00:00:00,Departing,8278
Manchester,2020-08-25 00:00:00,Departing,7748
Manchester,2020-09-23 00:00:00,Arriving,7681
Manchester,2020-09-12 00:00:00,Departing,8730
Manchester,2020-08-03 00:00:00,Departing,9478
Manchester,2020-08-13 00:00:00,Arriving,6685
Manchester,2020-03-31 00:00:00,Arriving,437
Manchester,2020-08-20 00:00:00,Arriving,7169
Manchester,2020-08-18 00:00:00,Departing,8178
Manchester,2020-08-06 00:00:00,Arriving,5929
Manchester,2020-10-11 00:00:00,Arriving,6775
Manchester,2020-10-08 00:00:00,Departing,3445
Manchester,2020-07-15 00:00:00,Arriving,2954
Manchester,2020-07-20 00:00:00,Arriving,4616
Manchester,2020-08-28 00:00:00,Arriving,10310
Manchester,2020-08-26 00:00:00,Arriving,8845
Manchester,2020-09-07 00:00:00,Arriving,9802
Manchester,2020-09-05 00:00:00,Departing,9558
Manchester,2020-08-05 00:00:00,Arriving,6082
Manchester,2020-08-18 00:00:00,Arriving,8118
Manchester,2020-10-23 00:00:00,Arriving,5519
Manchester,2020-10-01 00:00:00,Arriving,5159
East Midlands,2020-03-03 00:00:00,Departing,2064
East Midlands,2020-02-03 00:00:00,Arriving,2563
East Midlands,2020-02-10 00:00:00,Arriving,2788
East Midlands,2020-02-26 00:00:00,Arriving,2244
East Midlands,2020-01-05 00:00:00,Arriving,3871
East Midlands,2020-01-09 00:00:00,Departing,1930
East Midlands,2020-01-24 00:00:00,Departing,2817
East Midlands,2020-02-10 00:00:00,Departing,2591
East Midlands,2020-01-12 00:00:00,Arriving,2747
East Midlands,2020-03-05 00:00:00,Arriving,2474
East Midlands,2020-02-03 00:00:00,Departing,2353
East Midlands,2020-03-11 00:00:00,Arriving,1510
East Midlands,2020-01-06 00:00:00,Arriving,3287
East Midlands,2020-03-18 00:00:00,Departing,225
East Midlands,2020-01-23 00:00:00,Departing,2175
East Midlands,2020-02-06 00:00:00,Departing,2315
East Midlands,2020-02-20 00:00:00,Arriving,2727
East Midlands,2020-03-27 00:00:00,Arriving,0
East Midlands,2020-03-07 00:00:00,Departing,2920
Manchester,2020-03-03 00:00:00,Arriving,19505
Manchester,2020-01-29 00:00:00,Arriving,16580
Manchester,2020-02-07 00:00:00,Arriving,24162
Manchester,2020-01-31 00:00:00,Departing,24954
Manchester,2020-03-24 00:00:00,Departing,1399
Manchester,2020-02-06 00:00:00,Arriving,19496
Manchester,2020-02-21 00:00:00,Arriving,30838
Manchester,2020-02-21 00:00:00,Departing,25826
Manchester,2020-03-18 00:00:00,Departing,5438
Manchester,2020-02-16 00:00:00,Departing,29940
Manchester,2020-01-03 00:00:00,Arriving,31029
Manchester,2020-01-31 00:00:00,Arriving,27083
Manchester,2020-02-05 00:00:00,Departing,18240
Manchester,2020-01-12 00:00:00,Arriving,27744
Manchester,2020-02-10 00:00:00,Departing,25800
Manchester,2020-02-03 00:00:00,Arriving,22446
Manchester,2020-02-08 00:00:00,Arriving,20689
Manchester,2020-02-10 00:00:00,Arriving,24496
Manchester,2020-01-24 00:00:00,Departing,24550
Manchester,2020-02-16 00:00:00,Arriving,28523
Manchester,2020-03-06 00:00:00,Arriving,25474
Manchester,2020-01-24 00:00:00,Arriving,24042
Manchester,2020-01-11 00:00:00,Arriving,23248
Manchester,2020-03-15 00:00:00,Departing,11094
Manchester,2020-02-20 00:00:00,Arriving,25523
Manchester,2020-01-04 00:00:00,Departing,25995
Manchester,2020-03-17 00:00:00,Departing,6929
Manchester,2020-01-18 00:00:00,Arriving,22213
Manchester,2020-03-25 00:00:00,Departing,930
East Midlands,2020-07-01 00:00:00,Departing,502
East Midlands,2020-05-05 00:00:00,Departing,0
East Midlands,2020-08-11 00:00:00,Departing,1381
East Midlands,2020-04-12 00:00:00,Arriving,0
East Midlands,2020-06-28 00:00:00,Departing,43
East Midlands,2020-09-26 00:00:00,Departing,1267
East Midlands,2020-06-06 00:00:00,Arriving,0
East Midlands,2020-07-01 00:00:00,Arriving,183
East Midlands,2020-05-15 00:00:00,Departing,0
East Midlands,2020-05-24 00:00:00,Departing,0
East Midlands,2020-06-09 00:00:00,Departing,0
East Midlands,2020-04-15 00:00:00,Arriving,0
East Midlands,2020-04-28 00:00:00,Arriving,0
East Midlands,2020-10-08 00:00:00,Arriving,606
East Midlands,2020-08-10 00:00:00,Arriving,1829
East Midlands,2020-09-07 00:00:00,Arriving,2015
East Midlands,2020-08-27 00:00:00,Departing,1367
East Midlands,2020-04-05 00:00:00,Arriving,0
East Midlands,2020-05-21 00:00:00,Arriving,0
East Midlands,2020-10-14 00:00:00,Departing,658
East Midlands,2020-07-10 00:00:00,Arriving,575
East Midlands,2020-09-18 00:00:00,Departing,1741
East Midlands,2020-08-16 00:00:00,Arriving,1408
East Midlands,2020-09-24 00:00:00,Arriving,872
East Midlands,2020-07-17 00:00:00,Departing,2001
East Midlands,2020-09-26 00:00:00,Arriving,1280
East Midlands,2020-09-30 00:00:00,Arriving,1136
East Midlands,2020-08-14 00:00:00,Arriving,1850
East Midlands,2020-10-23 00:00:00,Arriving,904
East Midlands,2020-08-01 00:00:00,Arriving,2298
East Midlands,2020-09-15 00:00:00,Arriving,1047
East Midlands,2020-09-18 00:00:00,Arriving,2002
East Midlands,2020-08-03 00:00:00,Arriving,1608
East Midlands,2020-10-15 00:00:00,Departing,232
East Midlands,2020-08-01 00:00:00,Departing,1607
East Midlands,2020-05-22 00:00:00,Departing,0
East Midlands,2020-05-05 00:00:00,Arriving,0
East Midlands,2020-10-08 00:00:00,Departing,573
East Midlands,2020-06-12 00:00:00,Arriving,0
East Midlands,2020-10-01 00:00:00,Arriving,667
East Midlands,2020-05-12 00:00:00,Departing,0
East Midlands,2020-05-12 00:00:00,Arriving,0
East Midlands,2020-06-23 00:00:00,Departing,0
East Midlands,2020-06-30 00:00:00,Arriving,0
East Midlands,2020-08-11 00:00:00,Arriving,1388
East Midlands,2020-05-20 00:00:00,Departing,0
East Midlands,2020-07-30 00:00:00,Arriving,1162
East Midlands,2020-06-23 00:00:00,Arriving,0
East Midlands,2020-08-10 00:00:00,Departing,1730
Manchester,2020-08-12 00:00:00,Arriving,7789
Manchester,2020-09-02 00:00:00,Arriving,9256
Manchester,2020-07-19 00:00:00,Arriving,4119
Manchester,2020-08-23 00:00:00,Arriving,10235
Manchester,2020-08-10 00:00:00,Departing,9382
Manchester,2020-07-01 00:00:00,Arriving,1691
Manchester,2020-10-15 00:00:00,Departing,3173
Manchester,2020-09-21 00:00:00,Arriving,9176
Manchester,2020-10-07 00:00:00,Arriving,5574
Manchester,2020-10-06 00:00:00,Departing,3973
Manchester,2020-10-03 00:00:00,Departing,5805
Manchester,2020-07-28 00:00:00,Arriving,4751
Manchester,2020-10-07 00:00:00,Departing,3929
Manchester,2020-08-14 00:00:00,Arriving,9243
Manchester,2020-10-16 00:00:00,Arriving,6279
Manchester,2020-08-09 00:00:00,Arriving,8908
Manchester,2020-09-17 00:00:00,Departing,5929
Manchester,2020-07-27 00:00:00,Departing,6493
Manchester,2020-10-21 00:00:00,Departing,3557
Manchester,2020-10-21 00:00:00,Arriving,4462
Manchester,2020-08-21 00:00:00,Arriving,9721
Manchester,2020-05-03 00:00:00,Arriving,65
Manchester,2020-06-27 00:00:00,Arriving,492
Manchester,2020-07-03 00:00:00,Departing,3355
Manchester,2020-10-20 00:00:00,Arriving,4368
Manchester,2020-05-21 00:00:00,Arriving,112
Manchester,2020-06-09 00:00:00,Departing,312
Manchester,2020-05-11 00:00:00,Arriving,162
Manchester,2020-07-10 00:00:00,Arriving,2850
Manchester,2020-04-10 00:00:00,Departing,57
Manchester,2020-05-15 00:00:00,Departing,295
Manchester,2020-05-24 00:00:00,Departing,226
Manchester,2020-05-10 00:00:00,Arriving,318
Manchester,2020-05-04 00:00:00,Arriving,121
East Midlands,2020-05-26 00:00:00,Departing,0
Manchester,2020-04-24 00:00:00,Arriving,1098
Manchester,2020-06-14 00:00:00,Departing,280
Manchester,2020-05-11 00:00:00,Departing,250
Manchester,2020-05-04 00:00:00,Departing,219
Manchester,2020-05-07 00:00:00,Arriving,434
Manchester,2020-05-18 00:00:00,Departing,332
Manchester,2020-05-09 00:00:00,Departing,67
Manchester,2020-05-16 00:00:00,Departing,149
Manchester,2020-06-14 00:00:00,Arriving,273
Manchester,2020-05-24 00:00:00,Arriving,156
Manchester,2020-05-15 00:00:00,Arriving,368
Manchester,2020-05-26 00:00:00,Departing,96
Manchester,2020-05-26 00:00:00,Arriving,304
East Midlands,2020-12-02 00:00:00,Departing,58
East Midlands,2020-11-06 00:00:00,Arriving,243
East Midlands,2020-12-29 00:00:00,Arriving,89
East Midlands,2020-11-17 00:00:00,Arriving,121
East Midlands,2020-11-06 00:00:00,Departing,170
East Midlands,2020-12-29 00:00:00,Departing,23
East Midlands,2020-12-19 00:00:00,Departing,1116
East Midlands,2020-11-11 00:00:00,Departing,0
East Midlands,2020-12-04 00:00:00,Departing,127
East Midlands,2020-10-27 00:00:00,Arriving,305
Manchester,2020-12-29 00:00:00,Arriving,2650
Manchester,2020-12-29 00:00:00,Departing,1517
Manchester,2020-10-31 00:00:00,Departing,4023
Manchester,2020-12-04 00:00:00,Departing,4135
Manchester,2020-12-06 00:00:00,Departing,4205
Manchester,2020-12-28 00:00:00,Arriving,4221
Manchester,2020-11-06 00:00:00,Arriving,3754
Manchester,2020-10-26 00:00:00,Arriving,3887
Manchester,2020-12-06 00:00:00,Arriving,2786
Manchester,2020-11-24 00:00:00,Departing,1026
Manchester,2020-11-24 00:00:00,Arriving,1127
Manchester,2020-11-05 00:00:00,Departing,1836
Manchester,2020-11-29 00:00:00,Arriving,2159
Stansted,2020-01-03 00:00:00,Arriving,33859
Stansted,2020-01-04 00:00:00,Departing,28087
Stansted,2020-01-18 00:00:00,Arriving,25283
Stansted,2020-01-29 00:00:00,Arriving,15205
Stansted,2020-01-31 00:00:00,Arriving,27881
Stansted,2020-01-31 00:00:00,Departing,28569
Stansted,2020-02-03 00:00:00,Arriving,25117
Stansted,2020-02-06 00:00:00,Departing,23431
Stansted,2020-02-07 00:00:00,Departing,29351
Stansted,2020-02-09 00:00:00,Arriving,25124
Stansted,2020-02-13 00:00:00,Departing,26192
Stansted,2020-02-14 00:00:00,Departing,31719
Stansted,2020-02-16 00:00:00,Arriving,29144
Stansted,2020-02-16 00:00:00,Departing,32769
Stansted,2020-02-20 00:00:00,Arriving,26843
Stansted,2020-02-23 00:00:00,Arriving,33061
Stansted,2020-02-25 00:00:00,Arriving,22894
Stansted,2020-03-03 00:00:00,Departing,16151
Stansted,2020-03-06 00:00:00,Arriving,24868
Stansted,2020-03-06 00:00:00,Departing,26587
Stansted,2020-03-08 00:00:00,Departing,25283
Stansted,2020-03-14 00:00:00,Departing,13744
Stansted,2020-03-14 00:00:00,Arriving,17903
Stansted,2020-03-15 00:00:00,Departing,11911
Stansted,2020-03-17 00:00:00,Arriving,7307
Stansted,2020-03-18 00:00:00,Departing,4927
Stansted,2020-03-20 00:00:00,Departing,5506
Stansted,2020-03-24 00:00:00,Departing,2052
Stansted,2020-03-25 00:00:00,Departing,394
Stansted,2020-04-14 00:00:00,Departing,64
Stansted,2020-06-10 00:00:00,Arriving,416
Stansted,2020-09-02 00:00:00,Arriving,10362
Stansted,2020-07-19 00:00:00,Departing,10022
Stansted,2020-04-27 00:00:00,Arriving,120
Stansted,2020-05-04 00:00:00,Arriving,166
Stansted,2020-07-10 00:00:00,Arriving,4361
Stansted,2020-05-16 00:00:00,Departing,172
Stansted,2020-03-29 00:00:00,Departing,336
Stansted,2020-08-09 00:00:00,Departing,13926
Stansted,2020-10-11 00:00:00,Departing,6648
Stansted,2020-10-21 00:00:00,Arriving,2661
Stansted,2020-09-17 00:00:00,Arriving,7594
Stansted,2020-10-24 00:00:00,Arriving,4534
Stansted,2020-07-03 00:00:00,Departing,6463
Stansted,2020-08-29 00:00:00,Departing,11710
Stansted,2020-09-11 00:00:00,Departing,9768
Stansted,2020-07-09 00:00:00,Arriving,2475
Stansted,2020-07-22 00:00:00,Arriving,4740
Stansted,2020-10-24 00:00:00,Departing,5182
Stansted,2020-04-27 00:00:00,Departing,192
Stansted,2020-10-22 00:00:00,Departing,3083
Stansted,2020-04-09 00:00:00,Arriving,263
Stansted,2020-04-16 00:00:00,Arriving,209
Stansted,2020-09-11 00:00:00,Arriving,10712
Stansted,2020-07-04 00:00:00,Departing,6944
Stansted,2020-06-17 00:00:00,Departing,1239
Stansted,2020-07-19 00:00:00,Arriving,6903
Stansted,2020-09-20 00:00:00,Departing,9692
Stansted,2020-10-21 00:00:00,Departing,2587
Stansted,2020-10-03 00:00:00,Departing,6044
Stansted,2020-10-14 00:00:00,Arriving,3718
Stansted,2020-10-07 00:00:00,Departing,3841
Stansted,2020-07-24 00:00:00,Arriving,5974
Stansted,2020-10-20 00:00:00,Arriving,2563
Stansted,2020-09-20 00:00:00,Arriving,12415
Stansted,2020-10-22 00:00:00,Arriving,2844
Stansted,2020-10-07 00:00:00,Arriving,4648
Stansted,2020-04-29 00:00:00,Departing,170
Stansted,2020-07-27 00:00:00,Departing,7395
Stansted,2020-04-16 00:00:00,Departing,82
Stansted,2020-05-23 00:00:00,Departing,79
Stansted,2020-07-09 00:00:00,Departing,5859
Stansted,2020-06-14 00:00:00,Arriving,445
Stansted,2020-05-24 00:00:00,Arriving,441
Stansted,2020-10-03 00:00:00,Arriving,6681
Stansted,2020-05-16 00:00:00,Arriving,116
Stansted,2020-05-04 00:00:00,Departing,236
Stansted,2020-06-27 00:00:00,Arriving,700
Stansted,2020-06-07 00:00:00,Departing,913
Stansted,2020-04-10 00:00:00,Arriving,527
Stansted,2020-04-21 00:00:00,Arriving,54
Stansted,2020-05-24 00:00:00,Departing,396
Stansted,2020-06-07 00:00:00,Arriving,800
Stansted,2020-12-18 00:00:00,Arriving,6267
Stansted,2020-11-06 00:00:00,Departing,4134
Stansted,2020-11-01 00:00:00,Departing,5256
Stansted,2020-11-06 00:00:00,Arriving,4291
Stansted,2020-12-27 00:00:00,Departing,2117
Stansted,2020-12-18 00:00:00,Departing,11438
Stansted,2020-12-01 00:00:00,Departing,810
Stansted,2020-11-05 00:00:00,Departing,2598
Stansted,2020-12-01 00:00:00,Arriving,834
Stansted,2020-11-24 00:00:00,Departing,517
Stansted,2020-12-31 00:00:00,Arriving,1653
Stansted,2020-11-24 00:00:00,Arriving,438
Stansted,2020-12-21 00:00:00,Arriving,2091
Stansted,2020-12-28 00:00:00,Arriving,2696
Stansted,2020-11-19 00:00:00,Departing,523
Stansted,2020-12-06 00:00:00,Departing,2132
Manchester,2020-06-09 00:00:00,Arriving,517
Manchester,2020-04-20 00:00:00,Arriving,367
Manchester,2020-09-30 00:00:00,Arriving,7542
Manchester,2020-08-06 00:00:00,Departing,7347
Manchester,2020-09-05 00:00:00,Arriving,9622
Manchester,2020-08-16 00:00:00,Arriving,10398
Manchester,2020-08-03 00:00:00,Arriving,7696
Manchester,2020-09-30 00:00:00,Departing,6007
Manchester,2020-09-07 00:00:00,Departing,8759
Manchester,2020-04-03 00:00:00,Arriving,364
Manchester,2020-04-06 00:00:00,Arriving,224
Manchester,2020-04-05 00:00:00,Departing,82
Manchester,2020-07-06 00:00:00,Departing,3254
Manchester,2020-07-06 00:00:00,Arriving,1601
Manchester,2020-04-30 00:00:00,Departing,173
Manchester,2020-05-27 00:00:00,Departing,497
Manchester,2020-05-28 00:00:00,Departing,89
Manchester,2020-04-01 00:00:00,Arriving,383
Manchester,2020-06-25 00:00:00,Departing,1007
Manchester,2020-05-29 00:00:00,Arriving,265
Manchester,2020-06-02 00:00:00,Arriving,474
Manchester,2020-06-16 00:00:00,Arriving,175
Manchester,2020-06-23 00:00:00,Departing,939
Manchester,2020-04-04 00:00:00,Arriving,469
Manchester,2020-10-08 00:00:00,Arriving,4528
East Midlands,2020-10-03 00:00:00,Departing,1035
East Midlands,2020-04-26 00:00:00,Arriving,0
Manchester,2020-04-28 00:00:00,Arriving,397
Manchester,2020-05-28 00:00:00,Arriving,371
Manchester,2020-04-12 00:00:00,Arriving,468
Manchester,2020-06-22 00:00:00,Departing,857
Manchester,2020-06-08 00:00:00,Departing,261
Manchester,2020-05-30 00:00:00,Departing,276
Manchester,2020-05-19 00:00:00,Departing,128
East Midlands,2020-06-14 00:00:00,Departing,0
Manchester,2020-06-21 00:00:00,Departing,952
East Midlands,2020-11-09 00:00:00,Departing,159
East Midlands,2020-10-30 00:00:00,Departing,313
East Midlands,2020-12-30 00:00:00,Departing,9
East Midlands,2020-12-01 00:00:00,Departing,39
East Midlands,2020-11-10 00:00:00,Arriving,280
East Midlands,2020-11-09 00:00:00,Arriving,315
East Midlands,2020-10-25 00:00:00,Departing,1111
East Midlands,2020-12-18 00:00:00,Departing,889
East Midlands,2020-11-10 00:00:00,Departing,107
East Midlands,2020-12-13 00:00:00,Departing,228
East Midlands,2020-12-26 00:00:00,Departing,0
